"Year","Population_20plus"
2019,81743559
2020,83090933
2021,84421225
2022,85735467
2023,87033740
2024,88318410
2025,89588367
2026,90835060
2027,92055881
2028,93252450
2029,94425782
2030,95573277
2031,96695452
2032,97793133
2033,98867097
2034,99915612
2035,100937979
2036,101928652
2037,102886745
2038,103807406
2039,104690847
2040,105536627
2041,106344748
2042,107115107
2043,107847810
2044,108543088
2045,109201362
2046,109823062
2047,110408643
2048,110958473
2049,111472833
2050,111952062
2051,112396504
